mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.36287347475687665,0.027808069262911635,0.028987725575764973,0.004327102702883334,400,10,50,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 10, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.8025210084033614,0.8016877637130801,0.8143459915611815,0.8061849212258743,0.0057807655745494,5
0.49705076217651367,0.09393808682277183,0.035538117090861,0.007080080708438395,400,2,20,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 2, 'max_depth': np.int64(20), 'criterion': 'gini'}",0.7605042016806722,0.7848101265822784,0.8143459915611815,0.7865534399413775,0.02201535737442141,17
0.38453229268391925,0.05337961654794308,0.02408258120218913,0.0009588021528972185,400,10,30,entropy,"{'n_estimators': np.int64(400), 'min_samples_split': 10, 'max_depth': np.int64(30), 'criterion': 'entropy'}",0.8025210084033614,0.8016877637130801,0.8227848101265823,0.8089978607476747,0.00975477845505792,1
0.4190330505371094,0.06232837541765921,0.029124736785888672,0.005015936357799314,400,2,10,entropy,"{'n_estimators': np.int64(400), 'min_samples_split': 2, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7773109243697479,0.7890295358649789,0.8312236286919831,0.7991880296422367,0.02315226653700995,11
0.3637857437133789,0.1965250533259548,0.0214691162109375,0.01065595121057285,200,2,10,entropy,"{'n_estimators': np.int64(200), 'min_samples_split': 2, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7815126050420168,0.7932489451476793,0.8312236286919831,0.8019950596272264,0.021215833033356384,8
0.18156933784484863,0.007844535755147382,0.013441880544026693,0.0005038255010210831,200,2,30,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 2, 'max_depth': np.int64(30), 'criterion': 'gini'}",0.7563025210084033,0.7848101265822784,0.810126582278481,0.7837464099563877,0.021986450565388616,20
0.48865580558776855,0.016680579189865267,0.04285581906636556,0.009510604494946829,500,2,50,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 2, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7647058823529411,0.7805907172995781,0.8143459915611815,0.7865475304045669,0.020698596205658202,18
0.5822374025980631,0.20194724445059187,0.08829617500305176,0.08785075436363622,200,5,50,entropy,"{'n_estimators': np.int64(200), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'entropy'}",0.7689075630252101,0.8016877637130801,0.8227848101265823,0.7977933789549575,0.022167004207286758,12
0.5839505990346273,0.06986162816860092,0.041181723276774086,0.006741625841124342,400,5,50,gini,"{'n_estimators': np.int64(400), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7605042016806722,0.7848101265822784,0.8312236286919831,0.792179318984978,0.029337553711958026,14
0.4125533103942871,0.1771507624285657,0.02683250109354655,0.0071053412418342074,300,5,10,entropy,"{'n_estimators': np.int64(300), 'min_samples_split': 5, 'max_depth': np.int64(10), 'criterion': 'entropy'}",0.7941176470588235,0.7890295358649789,0.8270042194092827,0.803383800777695,0.016830831849690257,6
0.11197566986083984,0.013533728638028843,0.008296966552734375,0.000293061339876945,100,5,30,entropy,"{'n_estimators': np.int64(100), 'min_samples_split': 5, 'max_depth': np.int64(30), 'criterion': 'entropy'}",0.773109243697479,0.7974683544303798,0.8143459915611815,0.7949745298963468,0.016926935422545752,13
0.3879869778951009,0.17130165545042422,0.02474490801493327,0.008716739675425807,300,10,10,gini,"{'n_estimators': np.int64(300), 'min_samples_split': 10, 'max_depth': np.int64(10), 'criterion': 'gini'}",0.8067226890756303,0.7974683544303798,0.8185654008438819,0.8075854814499639,0.008634413697689476,3
0.2166910171508789,0.05597753905094844,0.016794204711914062,0.005017600049791428,200,5,30,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 5, 'max_depth': np.int64(30), 'criterion': 'gini'}",0.7605042016806722,0.7890295358649789,0.8185654008438819,0.7893663794631776,0.023704581973037882,16
0.5702490011850992,0.118271944937151,0.041614532470703125,0.012391151447192703,500,5,10,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 5, 'max_depth': np.int64(10), 'criterion': 'gini'}",0.7899159663865546,0.7848101265822784,0.8270042194092827,0.8005767707927053,0.018802924068933427,9
0.5226987997690836,0.0820529787935543,0.03181139628092448,0.0031333389966213083,500,2,20,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 2, 'max_depth': np.int64(20), 'criterion': 'gini'}",0.7647058823529411,0.7805907172995781,0.8143459915611815,0.7865475304045669,0.020698596205658202,18
0.23653729756673178,0.05067819864700215,0.01786152521769206,0.005475371802641969,200,10,40,gini,"{'n_estimators': np.int64(200), 'min_samples_split': 10, 'max_depth': np.int64(40), 'criterion': 'gini'}",0.7983193277310925,0.8016877637130801,0.810126582278481,0.8033778912408845,0.004966233534708058,7
0.6669549942016602,0.08104548038495893,0.03483994801839193,0.0017410173591055368,500,10,20,entropy,"{'n_estimators': np.int64(500), 'min_samples_split': 10, 'max_depth': np.int64(20), 'criterion': 'entropy'}",0.8025210084033614,0.8016877637130801,0.8227848101265823,0.8089978607476747,0.00975477845505792,1
0.5422994295756022,0.0855540675352628,0.03202239672342936,0.000742912198962977,500,5,50,gini,"{'n_estimators': np.int64(500), 'min_samples_split': 5, 'max_depth': np.int64(50), 'criterion': 'gini'}",0.7689075630252101,0.7848101265822784,0.8227848101265823,0.7921674999113569,0.022602177557824774,15
